;;MASOP;;;;;VNS-SOP;;;;;BRKGA;;;;;;
16eil76_RND_T60_p2;3728;3728;3712,1;5,84;0,00%;;3728;3717,5;1,62;0,00%;;3728;3721,1;3,07;0,00%;;39rat195_RND_T40_p2;0
16pr76_RND_T60_p2;3729;3729;3729;11,4;0,00%;;3729;3729;1,73;0,00%;;3729;3729;1,92;0,00%;;40d198_RND_T40_p2;0
20kroA100_RND_T60_p2;4920;4920;4717,1;7,41;0,00%;;4920;4808,6;3,44;0,00%;;4920;4847,2;3,44;0,00%;;40kroa200_RND_T40_p2;0
20kroB100_RND_T60_p2;4925;4925;4925;15,25;0,00%;;4925;4925;3,83;0,00%;;4925;4910,6;3,56;0,00%;;40krob200_RND_T40_p2;0
20kroC100_RND_T60_p2;4717;4717;4651;7,21;0,00%;;4619;4619;2,89;2,08%;;4717;4668;3,27;0,00%;;45ts225_RND_T40_p2;0
20kroD100_RND_T60_p2;4695;4695;4695;7,11;0,00%;;4695;4695;2,62;0,00%;;4695;4695;2,93;0,00%;;45tsp225_RND_T40_p2;0
20kroE100_RND_T60_p2;4910;4910;4910;13,9;0,00%;;4910;4910;2,86;0,00%;;4910;4910;2,68;0,00%;;53gil262_RND_T40_p2;0
20rat99_RND_T60_p2;4516;4516;4516;6,97;0,00%;;4516;4516;2,29;0,00%;;4516;4516;2,51;0,00%;;60pr299_RND_T40_p2;0
20rd100_RND_T60_p2;5008;5008;5008;12,51;0,00%;;5008;5008;2,84;0,00%;;5008;5008;3,23;0,00%;;131p654_RND_T40_p2;0
21eil101_RND_T60_p2;4933;4933;4932,2;5,82;0,00%;;4933;4933;3,27;0,00%;;4933;4929,8;3,48;0,00%;;11berlin52_RND_T60_p1;0
21lin105_RND_T60_p2;5228;5228;5228;14,51;0,00%;;5228;5228;3,13;0,00%;;5228;5228;2,89;0,00%;;11eil51_RND_T60_p1;0
22pr107_RND_T60_p2;5363;5363;5363;13,29;0,00%;;5363;5363;3,57;0,00%;;5363;5363;2,4;0,00%;;14st70_RND_T60_p1;0
25pr124_RND_T60_p2;5947;5947;5947;11,14;0,00%;;5947;5947;4,81;0,00%;;5947;5947;4,21;0,00%;;16eil76_RND_T60_p1;0
26bier127_RND_T60_p2;6333;6333;6333;20,92;0,00%;;6333;6333;6,73;0,00%;;6333;6333;2,45;0,00%;;16pr76_RND_T60_p1;0
26ch130_RND_T60_p2;6472;6472;6422,5;9,79;0,00%;;6472;6408,8;5,51;0,00%;;6393;6389,9;4,38;1,22%;;20kroB100_RND_T60_p1;0
28pr136_RND_T60_p2;6692;6692;6592,6;7,04;0,00%;;6692;6590,3;7,67;0,00%;;6692;6530,8;4,74;0,00%;;20kroC100_RND_T60_p1;0
29pr144_RND_T60_p2;7151;7151;7151;16,16;0,00%;;7151;7151;8,24;0,00%;;7151;7151;4,63;0,00%;;20kroD100_RND_T60_p1;0
30ch150_RND_T60_p2;7382;7382;7305,2;14,51;0,00%;;7286;7273,6;6,34;1,30%;;7382;7334;6,14;0,00%;;20kroE100_RND_T60_p1;0
30kroA150_RND_T60_p2;7315;7315;7291,3;13,72;0,00%;;7236;7205,4;6,98;1,08%;;7315;7275,5;5,39;0,00%;;20rat99_RND_T60_p1;0
30kroB150_RND_T60_p2;7476;7476;7471,6;16,49;0,00%;;7454;7454;8,08;0,29%;;7476;7456,2;5,86;0,00%;;20rd100_RND_T60_p1;0
31pr152_RND_T60_p2;7658;7658;7644,5;21,74;0,00%;;7658;7658;8,11;0,00%;;7613;7613;5,32;0,59%;;21eil101_RND_T60_p1;0
32u159_RND_T60_p2;7942;7942;7942;11,8;0,00%;;7942;7942;10,06;0,00%;;7942;7866,4;6,56;0,00%;;21lin105_RND_T60_p1;0
39rat195_RND_T60_p2;9022;9022;8816,6;10,68;0,00%;;8824;8816,8;11,32;2,19%;;9022;8848,2;7,2;0,00%;;22pr107_RND_T60_p1;0
40d198_RND_T60_p2;9952;9952;9952;22,04;0,00%;;9952;9952;18,4;0,00%;;9952;9952;8,19;0,00%;;25pr124_RND_T60_p1;0
40kroa200_RND_T60_p2;10010;10010;10010;21,21;0,00%;;10010;9965,4;19,35;0,00%;;10010;9924,7;11,65;0,00%;;26bier127_RND_T60_p1;0
40krob200_RND_T60_p2;10011;10011;10004,5;25,18;0,00%;;9946;9836,2;18,99;0,65%;;10011;9913,3;12,57;0,00%;;26ch130_RND_T60_p1;0
45ts225_RND_T60_p2;11308;11308;11308;32,68;0,00%;;11308;11308;20,68;0,00%;;11308;11308;14,91;0,00%;;29pr144_RND_T60_p1;0
45tsp225_RND_T60_p2;10786;10715;10667,4;11,68;0,66%;;10786;10650,6;21,87;0,00%;;10742;10626,2;14,3;0,41%;;30ch150_RND_T60_p1;0
46pr226_RND_T60_p2;11063;11063;11063;24,76;0,00%;;11063;11063;22,62;0,00%;;11063;11063;11,64;0,00%;;30kroB150_RND_T60_p1;0
53gil262_RND_T60_p2;12839;12839;12829;38,29;0,00%;;12722;12470,8;29,65;0,91%;;12780;12605,5;19,36;0,46%;;32u159_RND_T60_p1;0
53pr264_RND_T60_p2;12658;12658;12658;50,94;0,00%;;12658;12658;50,45;0,00%;;12658;12658;14,68;0,00%;;40d198_RND_T60_p1;0
56a280_RND_T60_p2;13252;13229;13080,7;23,25;0,17%;;13252;12739,1;33,26;0,00%;;13029;12816,6;20,01;1,68%;;40kroa200_RND_T60_p1;0
60pr299_RND_T60_p2;14688;14688;14688;31,43;0,00%;;14688;14688;49,92;0,00%;;14688;14660,9;24,43;0,00%;;45ts225_RND_T60_p1;0
64lin318_RND_T60_p2;15993;15993;15993;55,08;0,00%;;15955;15887,3;66,36;0,24%;;15877;15844,3;30,84;0,73%;;46pr226_RND_T60_p1;0
80rd400_RND_T60_p2;20090;20090;20056,9;61,1;0,00%;;20043;19938,9;96,18;0,23%;;20015;19804,1;42,72;0,37%;;53gil262_RND_T60_p1;0
84fl417_RND_T60_p2;20642;20635;20628,2;249,82;0,03%;;20642;20570,2;133,04;0,00%;;20642;20532,2;50,25;0,00%;;53pr264_RND_T60_p1;0
88pr439_RND_T60_p2;22177;22177;22177;133,66;0,00%;;22177;22177;180,12;0,00%;;22046;22024,4;53,35;0,59%;;60pr299_RND_T60_p1;0
89pcb442_RND_T60_p2;22194;22194;22108,3;71,26;0,00%;;22072;21723,6;120,17;0,55%;;22064;21558,4;61,78;0,59%;;84fl417_RND_T60_p1;0
99d493_RND_T60_p2;24679;24679;24650,3;109,5;0,00%;;24617;24444,8;164,74;0,25%;;24551;24307,9;84,79;0,52%;;11berlin52_RND_T60_p2;0
115rat575_RND_T60_p2;27170;27170;26959;85,82;0,00%;;26958;26124,6;167,53;0,78%;;26824;26203,3;95,75;1,27%;;11eil51_RND_T60_p2;0
115u574_RND_T60_p2;28937;28937;28880,6;96,28;0,00%;;28829;28726;263,55;0,37%;;28799;28595,9;117,83;0,48%;;14st70_RND_T60_p2;0
131p654_RND_T60_p2;32442;32442;32340,4;459,26;0,00%;;32442;32346,9;432,71;0,00%;;32315;32069,2;155,08;0,39%;;16eil76_RND_T60_p2;0
132d657_RND_T60_p2;32805;32805;32786,3;179,19;0,00%;;32205;32028,1;328,56;1,83%;;32120;31759,9;156,55;2,09%;;16pr76_RND_T60_p2;0
145u724_RND_T60_p2;35888;35614;35467,9;163,81;0,76%;;35888;35187,1;395,8;0,00%;;35267;34609,8;200,4;1,73%;;20kroA100_RND_T60_p2;0
157rat783_RND_T60_p2;37357;37357;37010,8;111,7;0,00%;;36610;36017,3;377,99;2,00%;;36518;35703,6;206,81;2,25%;;20kroB100_RND_T60_p2;0
201pr1002_RND_T60_p2;50412;50412;50247,7;403,5;0,00%;;49941;49135,5;1130,68;0,93%;;49552;48575,7;496,69;1,71%;;20kroD100_RND_T60_p2;0
212u1060_RND_T60_p2;53468;53468;53468;776,23;0,00%;;53442;53126,9;1577,57;0,05%;;52364;51371,1;564,76;2,06%;;20kroE100_RND_T60_p2;0
217vm1084_RND_T60_p2;54712;54712;54712;797,88;0,00%;;54712;54480,9;1569,24;0,00%;;54551;53752;660,58;0,29%;;20rat99_RND_T60_p2;0
11berlin52_RND_T80_p1;51;51;51;8,5;0,00%;;51;51;0,83;0,00%;;51;51;2,36;0,00%;;20rd100_RND_T60_p2;0
11eil51_RND_T80_p1;50;50;50;7,24;0,00%;;50;50;0,78;0,00%;;50;50;1,49;0,00%;;21eil101_RND_T60_p2;0
14st70_RND_T80_p1;69;69;69;10,79;0,00%;;69;69;1,31;0,00%;;69;69;2,16;0,00%;;21lin105_RND_T60_p2;0
16eil76_RND_T80_p1;75;75;75;10,72;0,00%;;75;75;1,68;0,00%;;75;75;2,76;0,00%;;22pr107_RND_T60_p2;0
16pr76_RND_T80_p1;75;75;75;12,08;0,00%;;75;75;1,8;0,00%;;75;75;1,96;0,00%;;25pr124_RND_T60_p2;0
20kroA100_RND_T80_p1;99;99;99;13,24;0,00%;;99;99;3,25;0,00%;;99;99;3,41;0,00%;;26bier127_RND_T60_p2;0
20kroB100_RND_T80_p1;99;99;99;14,52;0,00%;;99;99;3,34;0,00%;;99;99;3,27;0,00%;;28pr136_RND_T60_p2;0
20kroC100_RND_T80_p1;99;99;99;15,1;0,00%;;99;99;2,77;0,00%;;99;99;3,35;0,00%;;29pr144_RND_T60_p2;0
20kroD100_RND_T80_p1;99;99;99;13,13;0,00%;;99;99;3,71;0,00%;;99;99;3,5;0,00%;;32u159_RND_T60_p2;0
20kroE100_RND_T80_p1;99;99;99;13,73;0,00%;;99;99;2,95;0,00%;;99;99;3,12;0,00%;;40d198_RND_T60_p2;0
20rat99_RND_T80_p1;98;98;98;14,05;0,00%;;98;98;3,47;0,00%;;98;98;3,15;0,00%;;40kroa200_RND_T60_p2;0
20rd100_RND_T80_p1;99;99;99;13,6;0,00%;;99;99;3,19;0,00%;;99;99;2,57;0,00%;;45ts225_RND_T60_p2;0
21eil101_RND_T80_p1;100;100;100;14,59;0,00%;;100;100;3,85;0,00%;;100;100;3,31;0,00%;;46pr226_RND_T60_p2;0
21lin105_RND_T80_p1;104;104;104;13,57;0,00%;;104;104;3,42;0,00%;;104;104;3,28;0,00%;;53pr264_RND_T60_p2;0
22pr107_RND_T80_p1;106;106;106;14,53;0,00%;;106;106;4,17;0,00%;;106;106;3,26;0,00%;;60pr299_RND_T60_p2;0
25pr124_RND_T80_p1;123;123;123;14,85;0,00%;;123;123;5,5;0,00%;;123;122,6;4,21;0,00%;;11berlin52_RND_T80_p1;0
26bier127_RND_T80_p1;126;126;126;20,75;0,00%;;126;126;7,33;0,00%;;126;126;5,91;0,00%;;11eil51_RND_T80_p1;0
26ch130_RND_T80_p1;129;129;129;17,96;0,00%;;129;129;6,27;0,00%;;129;129;4,5;0,00%;;14st70_RND_T80_p1;0
28pr136_RND_T80_p1;135;135;135;16,04;0,00%;;135;135;6,86;0,00%;;135;134,9;5,66;0,00%;;16eil76_RND_T80_p1;0
29pr144_RND_T80_p1;143;143;143;21,09;0,00%;;143;143;7,6;0,00%;;143;143;4,72;0,00%;;16pr76_RND_T80_p1;0
30ch150_RND_T80_p1;149;149;149;20,14;0,00%;;149;149;8,72;0,00%;;149;149;5,73;0,00%;;20kroA100_RND_T80_p1;0
30kroA150_RND_T80_p1;149;149;149;18,38;0,00%;;149;149;8,39;0,00%;;149;149;5,6;0,00%;;20kroB100_RND_T80_p1;0
30kroB150_RND_T80_p1;149;149;149;19,66;0,00%;;149;149;9,83;0,00%;;149;149;6,29;0,00%;;20kroC100_RND_T80_p1;0
31pr152_RND_T80_p1;151;151;151;23,03;0,00%;;151;151;9,03;0,00%;;151;151;5,08;0,00%;;20kroD100_RND_T80_p1;0
32u159_RND_T80_p1;158;158;158;21,14;0,00%;;158;158;9,47;0,00%;;158;158;6,1;0,00%;;20kroE100_RND_T80_p1;0
39rat195_RND_T80_p1;194;194;194;23,86;0,00%;;194;193;15,9;0,00%;;194;193;9,32;0,00%;;20rat99_RND_T80_p1;0
40d198_RND_T80_p1;196;196;196;32,73;0,00%;;196;196;18,76;0,00%;;196;196;6,55;0,00%;;20rd100_RND_T80_p1;0
40kroa200_RND_T80_p1;199;199;199;32,63;0,00%;;199;199;22,97;0,00%;;199;199;10,69;0,00%;;21eil101_RND_T80_p1;0
40krob200_RND_T80_p1;199;199;199;32,61;0,00%;;199;199;21,24;0,00%;;199;199;10,74;0,00%;;21lin105_RND_T80_p1;0
45ts225_RND_T80_p1;224;224;224;34,58;0,00%;;224;224;24,55;0,00%;;224;224;11,94;0,00%;;22pr107_RND_T80_p1;0
45tsp225_RND_T80_p1;224;224;224;36,78;0,00%;;224;224;24,78;0,00%;;224;224;14,22;0,00%;;25pr124_RND_T80_p1;0
46pr226_RND_T80_p1;225;225;225;31,27;0,00%;;225;225;21,91;0,00%;;225;225;12,69;0,00%;;26bier127_RND_T80_p1;0
53gil262_RND_T80_p1;261;261;261;51,16;0,00%;;261;261;51,35;0,00%;;261;260,6;20,19;0,00%;;26ch130_RND_T80_p1;0
53pr264_RND_T80_p1;263;263;263;89,95;0,00%;;263;262,6;57,1;0,00%;;262;262;16,55;0,38%;;28pr136_RND_T80_p1;0
56a280_RND_T80_p1;279;279;279;35,49;0,00%;;279;279;38,54;0,00%;;279;276,6;22,93;0,00%;;29pr144_RND_T80_p1;0
60pr299_RND_T80_p1;298;298;298;55,32;0,00%;;298;298;64,3;0,00%;;298;295,8;27,52;0,00%;;30ch150_RND_T80_p1;0
64lin318_RND_T80_p1;317;317;317;57,59;0,00%;;317;317;83,7;0,00%;;317;316,8;31,85;0,00%;;30kroA150_RND_T80_p1;0
80rd400_RND_T80_p1;399;399;399;102,15;0,00%;;399;399;152,72;0,00%;;399;398,1;40,54;0,00%;;30kroB150_RND_T80_p1;0
84fl417_RND_T80_p1;416;416;416;436,19;0,00%;;416;416;157,09;0,00%;;416;415,4;51,57;0,00%;;31pr152_RND_T80_p1;0
88pr439_RND_T80_p1;438;438;438;145,14;0,00%;;438;438;254,24;0,00%;;438;438;48,15;0,00%;;32u159_RND_T80_p1;0
89pcb442_RND_T80_p1;441;441;441;117,6;0,00%;;441;441;187,48;0,00%;;441;440,3;66,32;0,00%;;39rat195_RND_T80_p1;0
99d493_RND_T80_p1;492;492;492;216,12;0,00%;;492;492;280;0,00%;;491;491;84,3;0,20%;;40d198_RND_T80_p1;0
115rat575_RND_T80_p1;574;574;574;177,18;0,00%;;574;572;285,25;0,00%;;568;564,7;118,68;1,05%;;40kroa200_RND_T80_p1;0
115u574_RND_T80_p1;573;573;573;204,19;0,00%;;573;573;436,19;0,00%;;573;572,5;118,14;0,00%;;40krob200_RND_T80_p1;0
131p654_RND_T80_p1;653;653;653;930,05;0,00%;;653;653;557,37;0,00%;;653;653;139,04;0,00%;;45ts225_RND_T80_p1;0
132d657_RND_T80_p1;656;656;656;271,87;0,00%;;656;655,6;501,77;0,00%;;655;652,4;182,63;0,15%;;45tsp225_RND_T80_p1;0
145u724_RND_T80_p1;723;723;723;300,99;0,00%;;723;723;658,26;0,00%;;721;712,2;228,41;0,28%;;46pr226_RND_T80_p1;0
157rat783_RND_T80_p1;782;782;782;459,64;0,00%;;782;781,2;684,39;0,00%;;773;761;261,05;1,15%;;53gil262_RND_T80_p1;0
201pr1002_RND_T80_p1;1001;1001;1001;836,03;0,00%;;1001;1001;1858,81;0,00%;;996;992,2;547,36;0,50%;;56a280_RND_T80_p1;0
212u1060_RND_T80_p1;1059;1059;1059;907,05;0,00%;;1059;1059;2496,95;0,00%;;1058;1057,3;675,71;0,09%;;60pr299_RND_T80_p1;0
217vm1084_RND_T80_p1;1083;1083;1083;946,07;0,00%;;1083;1083;2693,35;0,00%;;1083;1082,2;677,32;0,00%;;64lin318_RND_T80_p1;0
11berlin52_RND_T80_p2;2608;2608;2608;8,38;0,00%;;2608;2608;0,82;0,00%;;2608;2608;2,35;0,00%;;80rd400_RND_T80_p1;0
11eil51_RND_T80_p2;2575;2575;2575;7,35;0,00%;;2575;2575;0,77;0,00%;;2575;2575;1,9;0,00%;;84fl417_RND_T80_p1;0
14st70_RND_T80_p2;3513;3513;3513;10,68;0,00%;;3513;3513;1,41;0,00%;;3513;3513;1,64;0,00%;;88pr439_RND_T80_p1;0
16eil76_RND_T80_p2;3800;3800;3800;10,53;0,00%;;3800;3800;1,72;0,00%;;3800;3800;2,33;0,00%;;89pcb442_RND_T80_p1;0
16pr76_RND_T80_p2;3800;3800;3800;12,1;0,00%;;3800;3800;1,85;0,00%;;3800;3800;2,01;0,00%;;115u574_RND_T80_p1;0
20kroA100_RND_T80_p2;5008;5008;5008;13,84;0,00%;;5008;5008;3,35;0,00%;;5008;5008;3,15;0,00%;;131p654_RND_T80_p1;0
20kroB100_RND_T80_p2;5008;5008;5008;14,61;0,00%;;5008;5008;3,58;0,00%;;5008;5008;3,33;0,00%;;217vm1084_RND_T80_p1;0
20kroC100_RND_T80_p2;5008;5008;5008;14,54;0,00%;;5008;5008;2,95;0,00%;;5008;5008;3,24;0,00%;;11berlin52_RND_T80_p2;0
20kroD100_RND_T80_p2;5008;5008;5008;13,9;0,00%;;5008;5008;3,5;0,00%;;5008;5008;3,18;0,00%;;11eil51_RND_T80_p2;0
20kroE100_RND_T80_p2;5008;5008;5008;14,84;0,00%;;5008;5008;3,15;0,00%;;5008;5008;2,85;0,00%;;14st70_RND_T80_p2;0
20rat99_RND_T80_p2;5007;5007;5007;14,5;0,00%;;5007;5007;3,23;0,00%;;5007;5007;3,12;0,00%;;16eil76_RND_T80_p2;0
20rd100_RND_T80_p2;5008;5008;5008;13,12;0,00%;;5008;5008;3,25;0,00%;;5008;5008;2,44;0,00%;;16pr76_RND_T80_p2;0
21eil101_RND_T80_p2;5050;5050;5050;13,86;0,00%;;5050;5050;3,7;0,00%;;5050;5050;3,24;0,00%;;20kroA100_RND_T80_p2;0
21lin105_RND_T80_p2;5228;5228;5228;14,4;0,00%;;5228;5228;3,52;0,00%;;5228;5228;1,92;0,00%;;20kroB100_RND_T80_p2;0
22pr107_RND_T80_p2;5363;5363;5363;13,44;0,00%;;5363;5363;4,03;0,00%;;5363;5363;2,82;0,00%;;20kroC100_RND_T80_p2;0
25pr124_RND_T80_p2;6232;6232;6232;15,44;0,00%;;6232;6232;5,52;0,00%;;6232;6232;4,18;0,00%;;20kroD100_RND_T80_p2;0
26bier127_RND_T80_p2;6333;6333;6333;21,26;0,00%;;6333;6333;7,61;0,00%;;6333;6333;5,19;0,00%;;20kroE100_RND_T80_p2;0
26ch130_RND_T80_p2;6503;6503;6503;18,55;0,00%;;6503;6503;6,55;0,00%;;6503;6503;4,28;0,00%;;20rat99_RND_T80_p2;0
28pr136_RND_T80_p2;6850;6850;6850;16,64;0,00%;;6850;6850;7,45;0,00%;;6850;6850;5,79;0,00%;;20rd100_RND_T80_p2;0
29pr144_RND_T80_p2;7242;7242;7242;20,51;0,00%;;7242;7242;9,49;0,00%;;7242;7242;4,18;0,00%;;21eil101_RND_T80_p2;0
30ch150_RND_T80_p2;7533;7533;7533;20,71;0,00%;;7533;7533;10,34;0,00%;;7533;7533;5,42;0,00%;;21lin105_RND_T80_p2;0
30kroA150_RND_T80_p2;7533;7533;7533;19,23;0,00%;;7533;7533;8,13;0,00%;;7533;7533;5,3;0,00%;;22pr107_RND_T80_p2;0
30kroB150_RND_T80_p2;7533;7533;7533;19,51;0,00%;;7533;7533;9,72;0,00%;;7533;7533;5,35;0,00%;;25pr124_RND_T80_p2;0
31pr152_RND_T80_p2;7658;7658;7658;22,62;0,00%;;7658;7658;9,83;0,00%;;7658;7658;4,84;0,00%;;26bier127_RND_T80_p2;0
32u159_RND_T80_p2;8037;8037;8037;21,55;0,00%;;8037;8037;10,31;0,00%;;8037;8037;5,82;0,00%;;26ch130_RND_T80_p2;0
39rat195_RND_T80_p2;9863;9863;9863;23,17;0,00%;;9863;9854,6;18,56;0,00%;;9863;9837,8;9,29;0,00%;;28pr136_RND_T80_p2;0
40d198_RND_T80_p2;9952;9952;9952;33,04;0,00%;;9952;9952;20,71;0,00%;;9952;9952;5,9;0,00%;;29pr144_RND_T80_p2;0
40kroa200_RND_T80_p2;10058;10058;10058;32,32;0,00%;;10058;10058;22,24;0,00%;;10058;10058;10,19;0,00%;;30ch150_RND_T80_p2;0
40krob200_RND_T80_p2;10058;10058;10058;31,94;0,00%;;10058;10058;17,47;0,00%;;10058;10058;10,64;0,00%;;30kroA150_RND_T80_p2;0
45ts225_RND_T80_p2;11308;11308;11308;39,18;0,00%;;11308;11308;26,65;0,00%;;11308;11308;12,7;0,00%;;30kroB150_RND_T80_p2;0
45tsp225_RND_T80_p2;11308;11308;11308;38,65;0,00%;;11308;11308;28,39;0,00%;;11308;11308;13,56;0,00%;;31pr152_RND_T80_p2;0
46pr226_RND_T80_p2;11375;11375;11375;32,05;0,00%;;11375;11375;22,06;0,00%;;11375;11375;12,12;0,00%;;32u159_RND_T80_p2;0
53gil262_RND_T80_p2;13193;13193;13193;57,5;0,00%;;13193;13193;45,55;0,00%;;13193;13179,2;19,44;0,00%;;39rat195_RND_T80_p2;0
53pr264_RND_T80_p2;13302;13302;13302;87,98;0,00%;;13302;13274,4;59,36;0,00%;;13210;13210;15,57;0,69%;;40d198_RND_T80_p2;0
56a280_RND_T80_p2;14178;14178;14178;32,5;0,00%;;14178;14162,1;47,97;0,00%;;14178;14079,7;23,83;0,00%;;40kroa200_RND_T80_p2;0
60pr299_RND_T80_p2;15107;15107;15107;55,19;0,00%;;15107;15107;63,51;0,00%;;15107;15092,5;27,95;0,00%;;40krob200_RND_T80_p2;0
64lin318_RND_T80_p2;16037;16037;16037;61,3;0,00%;;16037;16037;80,12;0,00%;;16037;16026,8;30,42;0,00%;;45ts225_RND_T80_p2;0
80rd400_RND_T80_p2;20158;20158;20158;107,21;0,00%;;20158;20158;139,52;0,00%;;20158;20135,5;38,28;0,00%;;45tsp225_RND_T80_p2;0
84fl417_RND_T80_p2;21048;21048;21048;454,93;0,00%;;21048;21048;182,68;0,00%;;21048;21044,7;54,2;0,00%;;46pr226_RND_T80_p2;0
88pr439_RND_T80_p2;22177;22177;22177;137,14;0,00%;;22177;22177;233,59;0,00%;;22177;22177;47,51;0,00%;;53gil262_RND_T80_p2;0
89pcb442_RND_T80_p2;22323;22323;22323;117,49;0,00%;;22323;22323;183,29;0,00%;;22323;22294,5;64,08;0,00%;;56a280_RND_T80_p2;0
99d493_RND_T80_p2;24862;24862;24862;232,25;0,00%;;24862;24862;268,64;0,00%;;24862;24832,5;84,35;0,00%;;60pr299_RND_T80_p2;0
115rat575_RND_T80_p2;29033;29033;29033;154,57;0,00%;;29033;28942,5;270,31;0,00%;;28856;28545,3;115,64;0,61%;;64lin318_RND_T80_p2;0
115u574_RND_T80_p2;28957;28957;28957;211,46;0,00%;;28957;28957;425,84;0,00%;;28957;28950,8;122,48;0,00%;;80rd400_RND_T80_p2;0
131p654_RND_T80_p2;32997;32997;32997;1327,59;0,00%;;32997;32997;534,84;0,00%;;32997;32997;141,35;0,00%;;84fl417_RND_T80_p2;0
132d657_RND_T80_p2;33188;33188;33188;263,79;0,00%;;33188;33181,3;519,49;0,00%;;33121;33005,2;173,52;0,20%;;88pr439_RND_T80_p2;0
145u724_RND_T80_p2;36532;36532;36532;325,98;0,00%;;36532;36532;690,59;0,00%;;36444;36274,9;220,06;0,24%;;89pcb442_RND_T80_p2;0
157rat783_RND_T80_p2;39517;39517;39517;463,61;0,00%;;39517;39493,9;647,08;0,00%;;39113;38656,5;264,39;1,02%;;99d493_RND_T80_p2;0
201pr1002_RND_T80_p2;50583;50583;50583;1010,01;0,00%;;50583;50583;1850,51;0,00%;;50496;50148,9;547,91;0,17%;;115u574_RND_T80_p2;0
212u1060_RND_T80_p2;53548;53548;53548;839,06;0,00%;;53548;53548;2552,23;0,00%;;53468;53430,1;648,67;0,15%;;131p654_RND_T80_p2;0
217vm1084_RND_T80_p2;54712;54712;54712;1038,93;0,00%;;54712;54712;2827,31;0,00%;;54712;54712;653,1;0,00%;;217vm1084_RND_T80_p2;0
