dataset_name;obj_1;duration_1;obj_2;duration_2;obj_3;duration_3;obj_4;duration_4;obj_5;duration_5;;d1;d2;d3; d4;d5
26bier127_v2_p1;124;0,257;124;0,226;124;0,222;124;0,267;124;0,231;;0,26;0,23;0,22;0,27;0,23
26bier127_v2_p2;6249;0,256;6236;0,253;6236;0,284;6249;0,243;6241;0,311;;0,26;0,25;0,28;0,24;0,31
26bier127_v3_p1;125;0,321;125;0,297;125;0,329;125;0,285;125;0,323;;0,32;0,30;0,33;0,29;0,32
26bier127_v3_p2;6314;0,32;6314;0,351;6314;0,29;6314;0,292;6314;0,271;;0,32;0,35;0,29;0,29;0,27
26bier127_v4_p1;126;0,307;126;0,334;126;0,325;126;0,302;126;0,308;;0,31;0,33;0,33;0,30;0,31
26bier127_v4_p2;6333;0,309;6333;0,286;6333;0,308;6333;0,31;6333;0,302;;0,31;0,29;0,31;0,31;0,30
26ch130_v2_p1;116;0,292;116;0,279;117;0,317;117;0,306;117;0,264;;0,29;0,28;0,32;0,31;0,26
26ch130_v2_p2;5934;0,289;5895;0,325;5940;0,318;5934;0,283;5934;0,358;;0,29;0,33;0,32;0,28;0,36
26ch130_v3_p1;122;0,294;122;0,286;122;0,336;122;0,342;122;0,309;;0,29;0,29;0,34;0,34;0,31
26ch130_v3_p2;6150;0,38;6150;0,319;6150;0,355;6150;0,335;6150;0,309;;0,38;0,32;0,36;0,34;0,31
26ch130_v4_p1;124;0,316;124;0,317;124;0,326;124;0,304;124;0,324;;0,32;0,32;0,33;0,30;0,32
26ch130_v4_p2;6280;0,312;6280;0,309;6280;0,303;6280;0,315;6280;0,319;;0,31;0,31;0,30;0,32;0,32
28pr136_v2_p1;103;0,325;103;0,349;103;0,315;103;0,368;103;0,318;;0,33;0,35;0,32;0,37;0,32
28pr136_v2_p2;5260;0,366;5260;0,314;5260;0,364;5260;0,326;5260;0,352;;0,37;0,31;0,36;0,33;0,35
28pr136_v3_p1;90;0,441;90;0,363;90;0,405;90;0,374;90;0,367;;0,44;0,36;0,41;0,37;0,37
28pr136_v3_p2;4464;0,409;4464;0,489;4464;0,394;4464;0,399;4464;0,394;;0,41;0,49;0,39;0,40;0,39
28pr136_v4_p1;98;0,432;98;0,52;98;0,614;98;0,557;98;0,496;;0,43;0,52;0,61;0,56;0,50
28pr136_v4_p2;4798;0,402;4840;0,475;4840;0,443;4840;0,471;4798;0,4;;0,40;0,48;0,44;0,47;0,40
29pr144_v2_p1;112;0,438;112;0,434;112;0,451;112;0,479;112;0,415;;0,44;0,43;0,45;0,48;0,42
29pr144_v2_p2;5662;0,421;5662;0,384;5662;0,428;5662;0,371;5662;0,427;;0,42;0,38;0,43;0,37;0,43
29pr144_v3_p1;103;0,4;103;0,406;103;0,394;103;0,404;103;0,401;;0,40;0,41;0,39;0,40;0,40
29pr144_v3_p2;5218;0,436;5218;0,433;5218;0,414;5218;0,421;5218;0,41;;0,44;0,43;0,41;0,42;0,41
29pr144_v4_p1;111;0,507;111;0,505;111;0,511;111;0,559;111;0,525;;0,51;0,51;0,51;0,56;0,53
29pr144_v4_p2;5622;0,46;5622;0,463;5622;0,48;5622;0,488;5622;0,501;;0,46;0,46;0,48;0,49;0,50
30ch150_v2_p1;123;0,48;123;0,414;123;0,445;123;0,392;123;0,389;;0,48;0,41;0,45;0,39;0,39
30ch150_v2_p2;6024;0,372;6024;0,355;6024;0,399;6024;0,379;6024;0,423;;0,37;0,36;0,40;0,38;0,42
30ch150_v3_p1;111;0,574;111;0,583;111;0,518;111;0,436;111;0,454;;0,57;0,58;0,52;0,44;0,45
30ch150_v3_p2;5531;0,448;5531;0,446;5531;0,432;5531;0,454;5531;0,423;;0,45;0,45;0,43;0,45;0,42
30ch150_v4_p1;116;0,601;116;0,719;116;0,558;116;0,58;116;0,581;;0,60;0,72;0,56;0,58;0,58
30ch150_v4_p2;5828;0,487;5828;0,484;5828;0,47;5828;0,483;5828;0,477;;0,49;0,48;0,47;0,48;0,48
30kroA150_v2_p1;128;0,408;128;0,351;128;0,363;128;0,358;128;0,372;;0,41;0,35;0,36;0,36;0,37
30kroA150_v2_p2;6564;0,425;6564;0,426;6564;0,47;6564;0,418;6564;0,432;;0,43;0,43;0,47;0,42;0,43
30kroA150_v3_p1;125;0,603;125;0,506;125;0,477;125;0,481;125;0,514;;0,60;0,51;0,48;0,48;0,51
30kroA150_v3_p2;6351;0,497;6351;0,425;6351;0,493;6351;0,463;6351;0,424;;0,50;0,43;0,49;0,46;0,42
30kroA150_v4_p1;132;0,48;132;0,546;132;0,481;132;0,468;132;0,481;;0,48;0,55;0,48;0,47;0,48
30kroA150_v4_p2;6780;0,468;6780;0,466;6780;0,477;6780;0,47;6780;0,47;;0,47;0,47;0,48;0,47;0,47
30kroB150_v2_p1;136;0,355;136;0,384;136;0,351;136;0,338;136;0,347;;0,36;0,38;0,35;0,34;0,35
30kroB150_v2_p2;6760;0,342;6760;0,362;6760;0,356;6760;0,422;6760;0,352;;0,34;0,36;0,36;0,42;0,35
30kroB150_v3_p1;130;0,399;130;0,397;130;0,389;130;0,393;130;0,394;;0,40;0,40;0,39;0,39;0,39
30kroB150_v3_p2;6461;0,434;6461;0,439;6461;0,51;6461;0,519;6461;0,527;;0,43;0,44;0,51;0,52;0,53
30kroB150_v4_p1;137;0,445;137;0,448;137;0,442;137;0,462;137;0,449;;0,45;0,45;0,44;0,46;0,45
30kroB150_v4_p2;6800;0,463;6800;0,457;6800;0,463;6800;0,464;6800;0,454;;0,46;0,46;0,46;0,46;0,45
31pr152_v2_p1;110;0,647;110;0,614;110;0,565;110;0,583;110;0,591;;0,65;0,61;0,57;0,58;0,59
31pr152_v2_p2;5559;0,5;5559;0,758;5559;0,484;5559;0,757;5559;0,791;;0,50;0,76;0,48;0,76;0,79
31pr152_v3_p1;96;0,489;96;0,45;96;0,464;96;0,462;96;0,47;;0,49;0,45;0,46;0,46;0,47
31pr152_v3_p2;4968;0,484;4968;0,477;4968;0,489;4968;0,476;4968;0,489;;0,48;0,48;0,49;0,48;0,49
31pr152_v4_p1;105;0,523;105;0,525;105;0,549;105;0,527;105;0,535;;0,52;0,53;0,55;0,53;0,54
31pr152_v4_p2;5387;0,527;5387;0,522;5387;0,526;5387;0,528;5387;0,521;;0,53;0,52;0,53;0,53;0,52
32u159_v2_p1;127;0,635;127;0,579;127;0,509;127;0,559;127;0,598;;0,64;0,58;0,51;0,56;0,60
32u159_v2_p2;6529;0,495;6529;0,511;6529;0,542;6529;0,481;6529;0,539;;0,50;0,51;0,54;0,48;0,54
32u159_v3_p1;107;0,515;107;0,534;107;0,534;107;0,513;107;0,5;;0,52;0,53;0,53;0,51;0,50
32u159_v3_p2;5452;0,52;5452;0,531;5452;0,562;5452;0,583;5452;0,569;;0,52;0,53;0,56;0,58;0,57
32u159_v4_p1;109;0,583;109;0,563;109;0,576;109;0,577;109;0,6;;0,58;0,56;0,58;0,58;0,60
32u159_v4_p2;5573;0,58;5573;0,57;5573;0,582;5573;0,607;5573;0,568;;0,58;0,57;0,58;0,61;0,57
39rat195_v2_p1;133;1.119;133;0,979;133;0,965;133;0,91;133;1.019;;1,12;0,98;0,97;0,91;1,02
39rat195_v2_p2;6644;0,972;6644;1.131;6644;1.118;6644;1.259;6644;1.025;;0,97;1,13;1,12;1,26;1,03
39rat195_v3_p1;122;0,856;122;0,826;122;0,836;122;0,883;122;0,857;;0,86;0,83;0,84;0,88;0,86
39rat195_v3_p2;6058;0,909;6058;0,961;6058;0,931;6058;0,964;6058;1.025;;0,91;0,96;0,93;0,96;1,03
39rat195_v4_p1;124;0,894;124;0,882;124;0,878;124;0,894;124;0,889;;0,89;0,88;0,88;0,89;0,89
39rat195_v4_p2;6149;0,934;6149;0,932;6149;0,944;6149;0,936;6149;0,932;;0,93;0,93;0,94;0,94;0,93
40d198_v2_p1;125;0,777;125;0,79;125;0,709;125;0,716;125;0,741;;0,78;0,79;0,71;0,72;0,74
40d198_v2_p2;6369;0,853;6369;0,862;6369;0,839;6369;0,712;6369;0,826;;0,85;0,86;0,84;0,71;0,83
40d198_v3_p1;94;0,696;94;0,666;94;0,669;94;0,701;94;0,702;;0,70;0,67;0,67;0,70;0,70
40d198_v3_p2;4713;0,653;4713;0,656;4713;0,677;4713;0,67;4713;0,654;;0,65;0,66;0,68;0,67;0,65
40d198_v4_p1;94;0,759;94;0,753;94;0,748;94;0,751;94;0,74;;0,76;0,75;0,75;0,75;0,74
40d198_v4_p2;4713;0,75;4713;0,747;4713;0,746;4713;0,747;4713;0,749;;0,75;0,75;0,75;0,75;0,75
40kroa200_v2_p1;186;0,848;187;1.166;187;1.018;186;0,901;185;0,922;;0,85;1,17;1,02;0,90;0,92
40kroa200_v2_p2;9463;1.106;9463;0,946;9463;1.164;9463;1.083;9463;1.102;;1,11;0,95;1,16;1,08;1,10
40kroa200_v3_p1;182;1.005;182;1.325;182;0,988;182;0,967;180;0,917;;1,01;1,33;0,99;0,97;0,92
40kroa200_v3_p2;9250;1.156;9250;1.466;9250;1.423;9250;1.067;9250;1.176;;1,16;1,47;1,42;1,07;1,18
40kroa200_v4_p1;191;0,959;190;0,956;191;1.287;191;1,2;191;0,9;;0,96;0,96;1,29;1,20;0,90
40kroa200_v4_p2;9664;1.333;9664;1.025;9664;1.042;9664;1,04;9664;1.024;;1,33;1,03;1,04;1,04;1,02
40krob200_v2_p1;177;0,79;177;0,902;177;0,969;177;1,01;177;1,07;;0,79;0,90;0,97;1,01;1,07
40krob200_v2_p2;8854;0,913;8854;1,17;8854;0,786;8902;1,06;8902;1,23;;0,91;1,17;0,79;1,06;1,23
40krob200_v3_p1;170;1.589;170;1,18;170;1.091;170;1.346;170;1.439;;1,59;1,18;1,09;1,35;1,44
40krob200_v3_p2;8216;1.236;8216;1.246;8216;1.107;8216;1.357;8216;1.229;;1,24;1,25;1,11;1,36;1,23
40krob200_v4_p1;178;1.062;178;0,949;178;1.088;178;1.127;178;1.087;;1,06;0,95;1,09;1,13;1,09
40krob200_v4_p2;8704;1.158;8704;1.196;8704;1,15;8704;1.049;8704;1.029;;1,16;1,20;1,15;1,05;1,03
45ts225_v2_p1;196;1.481;196;2.015;197;1.469;196;1.454;196;1.268;;1,48;2,02;1,47;1,45;1,27
45ts225_v2_p2;10030;1.341;10054;1.775;10030;1.712;10054;1,9;10030;1.441;;1,34;1,78;1,71;1,90;1,44
45ts225_v3_p1;179;1,2;179;1.182;179;1.307;179;1.243;179;1.231;;1,20;1,18;1,31;1,24;1,23
45ts225_v3_p2;9177;1.299;9177;1.332;9177;1.426;9177;1.342;9177;1.475;;1,30;1,33;1,43;1,34;1,48
45ts225_v4_p1;190;1.368;190;1,37;190;1.232;190;1,5;190;1.457;;1,37;1,37;1,23;1,50;1,46
45ts225_v4_p2;9740;1.354;9740;1.259;9740;1.353;9740;1.437;9740;1.278;;1,35;1,26;1,35;1,44;1,28
45tsp225_v2_p1;168;1.789;168;1.391;168;1.498;168;1.392;168;1.722;;1,79;1,39;1,50;1,39;1,72
45tsp225_v2_p2;8618;1.772;8618;1.987;8618;1.763;8618;1.629;8618;1.506;;1,77;1,99;1,76;1,63;1,51
45tsp225_v3_p1;150;1.806;148;1.738;147;1.828;148;1.629;148;1.537;;1,81;1,74;1,83;1,63;1,54
45tsp225_v3_p2;7414;1.661;7636;1.735;7636;2.148;7636;1.932;7636;1.956;;1,66;1,74;2,15;1,93;1,96
45tsp225_v4_p1;154;1,39;154;1.497;154;1.442;154;1.358;154;1.435;;1,39;1,50;1,44;1,36;1,44
45tsp225_v4_p2;7821;1.567;7821;2.007;7821;1.497;7821;1.558;7821;1.715;;1,57;2,01;1,50;1,56;1,72
46pr226_v2_p1;179;1.381;179;1.058;179;1.139;179;1.378;179;1.157;;1,38;1,06;1,14;1,38;1,16
46pr226_v2_p2;8959;1.502;8959;1.573;8959;1.317;8959;1.707;8954;1.572;;1,50;1,57;1,32;1,71;1,57
46pr226_v3_p1;158;1.605;158;1.538;158;1.754;158;1.746;158;1,6;;1,61;1,54;1,75;1,75;1,60
46pr226_v3_p2;7903;1.564;7903;1.501;7903;1.747;7903;1,44;7903;1.563;;1,56;1,50;1,75;1,44;1,56
46pr226_v4_p1;169;1.336;169;1.389;169;1.341;169;1.348;169;1.396;;1,34;1,39;1,34;1,35;1,40
46pr226_v4_p2;8509;1.389;8509;1.473;8509;1,46;8509;1,4;8509;1.421;;1,39;1,47;1,46;1,40;1,42
53gil262_v2_p1;219;2.524;220;2.474;219;2.042;219;2.327;219;2.681;;2,52;2,47;2,04;2,33;2,68
53gil262_v2_p2;11153;2.226;11197;3.092;11197;2.734;11153;2.474;11075;3.335;;2,23;3,09;2,73;2,47;3,34
53gil262_v3_p1;195;2.393;193;2.181;195;2.438;195;2.319;195;2.087;;2,39;2,18;2,44;2,32;2,09
53gil262_v3_p2;9689;2.741;9689;3.554;9653;2.058;9689;2.694;9653;2.776;;2,74;3,55;2,06;2,69;2,78
53gil262_v4_p1;209;2.141;209;2,09;209;1.974;209;2.303;207;1.993;;2,14;2,09;1,97;2,30;1,99
53gil262_v4_p2;10338;2.254;10338;2.589;10327;2.705;10302;2.147;10338;2.641;;2,25;2,59;2,71;2,15;2,64
53pr264_v2_p1;189;1.504;189;1.505;189;1.564;189;1.528;189;1.461;;1,50;1,51;1,56;1,53;1,46
53pr264_v2_p2;9528;1.573;9528;1.874;9528;1.588;9528;1.747;9528;1.566;;1,57;1,87;1,59;1,75;1,57
53pr264_v3_p1;131;1.476;131;1.508;131;1,48;131;1.457;131;1.476;;1,48;1,51;1,48;1,46;1,48
53pr264_v3_p2;6588;1.502;6588;1.512;6588;1.519;6588;1.499;6588;1.505;;1,50;1,51;1,52;1,50;1,51
53pr264_v4_p1;131;1.657;131;1.674;131;1.659;131;1.654;131;1,65;;1,66;1,67;1,66;1,65;1,65
53pr264_v4_p2;6588;1.663;6588;1.669;6588;1.665;6588;1.676;6588;1.677;;1,66;1,67;1,67;1,68;1,68
56a280_v2_p1;199;3,61;203;2.975;202;4.296;206;3.586;200;3.001;;3,61;2,98;4,30;3,59;3,00
56a280_v2_p2;10472;3.801;10402;2.608;10402;2.181;10484;2.327;10484;3.078;;3,80;2,61;2,18;2,33;3,08
56a280_v3_p1;179;2.876;179;2.985;179;2.649;179;3,06;179;3,32;;2,88;2,99;2,65;3,06;3,32
56a280_v3_p2;9116;3.492;9116;5.125;9116;4.439;9111;2.954;9116;3.504;;3,49;5,13;4,44;2,95;3,50
56a280_v4_p1;185;3.394;185;3.166;185;3.226;185;2.985;185;3.006;;3,39;3,17;3,23;2,99;3,01
56a280_v4_p2;9423;2.892;9423;3.198;9423;3.503;9423;3.363;9423;3.649;;2,89;3,20;3,50;3,36;3,65
60pr299_v2_p1;206;3.798;206;3.535;206;3.197;206;3.107;206;3.349;;3,80;3,54;3,20;3,11;3,35
60pr299_v2_p2;10588;3.399;10445;3.662;10445;3.981;10445;3.429;10524;4,23;;3,40;3,66;3,98;3,43;4,23
60pr299_v3_p1;172;4.093;172;3.241;172;4.591;172;3.536;172;3.803;;4,09;3,24;4,59;3,54;3,80
60pr299_v3_p2;8834;3.481;8834;3.935;8834;3.153;8834;3.819;8834;3.117;;3,48;3,94;3,15;3,82;3,12
60pr299_v4_p1;178;3,55;178;3.692;178;3,22;178;3,6;178;4.397;;3,55;3,69;3,22;3,60;4,40
60pr299_v4_p2;9085;4,55;9085;3.962;9085;4.435;9085;3.742;9085;3.695;;4,55;3,96;4,44;3,74;3,70
64lin318_v2_p1;295;2.768;298;2.661;297;2.833;297;2,82;295;2.551;;2,77;2,66;2,83;2,82;2,55
64lin318_v2_p2;15129;3.035;15168;4.139;15147;2.447;15202;3.149;15217;3.339;;3,04;4,14;2,45;3,15;3,34
64lin318_v3_p1;291;3.298;291;3.119;292;2.883;292;3.179;291;3.035;;3,30;3,12;2,88;3,18;3,04
64lin318_v3_p2;14924;4,68;14958;3.941;14924;4,34;14973;5.539;14958;5,14;;4,68;3,94;4,34;5,54;5,14
64lin318_v4_p1;302;3,78;302;4,08;302;3.265;302;3.268;302;3.082;;3,78;4,08;3,27;3,27;3,08
64lin318_v4_p2;15459;2.803;15459;3.134;15459;3.375;15459;2.894;15459;3.133;;2,80;3,13;3,38;2,89;3,13
80rd400_v2_p1;392;7.724;393;6.576;392;6.342;393;7.812;392;7.217;;7,72;6,58;6,34;7,81;7,22
80rd400_v2_p2;19846;7.293;19875;10.012;19875;7.407;19875;7.519;19818;5.717;;7,29;10,01;7,41;7,52;5,72
80rd400_v3_p1;398;6,26;398;5.555;398;5.919;398;6.361;398;5.759;;6,26;5,56;5,92;6,36;5,76
80rd400_v3_p2;20140;7.344;20158;6.572;20158;7.587;20158;6.048;20140;6.884;;7,34;6,57;7,59;6,05;6,88
80rd400_v4_p1;399;4.532;399;4.585;399;4.522;399;4.565;399;4.501;;4,53;4,59;4,52;4,57;4,50
80rd400_v4_p2;20158;4.568;20158;4.537;20158;4.506;20158;4,55;20158;4.498;;4,57;4,54;4,51;4,55;4,50
84fl417_v2_p1;368;5.511;368;5.132;369;5.102;368;6.034;370;6.585;;5,51;5,13;5,10;6,03;6,59
84fl417_v2_p2;19059;8.469;19042;7.138;19026;6.293;19042;7.079;19059;8,74;;8,47;7,14;6,29;7,08;8,74
84fl417_v3_p1;318;11.359;317;9.625;317;11.975;319;10.506;318;9.633;;11,36;9,63;11,98;10,51;9,63
84fl417_v3_p2;16234;12.153;16324;10.668;16217;9.699;16217;13.169;16237;13.397;;12,15;10,67;9,70;13,17;13,40
84fl417_v4_p1;364;7.926;365;8,42;365;6.843;365;8.734;365;7.908;;7,93;8,42;6,84;8,73;7,91
84fl417_v4_p2;18714;11.853;18747;9.958;18737;8,63;18712;11.421;18659;8.467;;11,85;9,96;8,63;11,42;8,47
88pr439_v2_p1;423;6,46;423;8.823;427;8.517;424;8.697;430;8.025;;6,46;8,82;8,52;8,70;8,03
88pr439_v2_p2;21442;8,85;21460;9.147;21453;8,82;21510;6.761;21550;9.528;;8,85;9,15;8,82;6,76;9,53
88pr439_v3_p1;428;7.196;428;7.515;428;6.252;428;7.439;429;8.682;;7,20;7,52;6,25;7,44;8,68
88pr439_v3_p2;21642;7.901;21691;9.586;21657;7.321;21710;11.183;21683;9.788;;7,90;9,59;7,32;11,18;9,79
88pr439_v4_p1;438;7.315;438;8.057;438;7.526;438;6.962;438;7.076;;7,32;8,06;7,53;6,96;7,08
88pr439_v4_p2;22177;6.029;22177;5.796;22177;6.914;22177;6.442;22177;6.202;;6,03;5,80;6,91;6,44;6,20
89pcb442_v2_p1;418;12.437;418;12.614;420;9.138;416;8.947;418;9.757;;12,44;12,61;9,14;8,95;9,76
89pcb442_v2_p2;21133;14.733;21063;11.025;21136;13.819;21116;11.958;21116;10.894;;14,73;11,03;13,82;11,96;10,89
89pcb442_v3_p1;426;12.185;425;9.552;424;10,34;424;8.771;424;11.775;;12,19;9,55;10,34;8,77;11,78
89pcb442_v3_p2;21584;13.174;21508;14.575;21487;13.678;21501;12.303;21405;13.822;;13,17;14,58;13,68;12,30;13,82
89pcb442_v4_p1;438;8,02;438;8.039;438;10.819;438;9.922;438;8,62;;8,02;8,04;10,82;9,92;8,62
89pcb442_v4_p2;22138;8.348;22118;9.505;22118;8.196;22118;11.311;22138;8.502;;8,35;9,51;8,20;11,31;8,50
99d493_v2_p1;459;10.545;460;12.932;459;10.227;459;10,66;459;9.726;;10,55;12,93;10,23;10,66;9,73
99d493_v2_p2;23219;15.399;23195;13.332;23195;14.187;23151;12.499;23181;13,56;;15,40;13,33;14,19;12,50;13,56
99d493_v3_p1;415;11.898;415;13.623;414;10.516;415;13.159;416;14.184;;11,90;13,62;10,52;13,16;14,18
99d493_v3_p2;20998;12.645;20992;14.767;20986;18.696;21025;13.593;21029;23.454;;12,65;14,77;18,70;13,59;23,45
99d493_v4_p1;457;11,44;458;12.119;457;11.235;458;11.586;457;12.859;;11,44;12,12;11,24;11,59;12,86
99d493_v4_p2;22967;16.723;22832;16.277;22975;13.302;22927;11.701;22963;14.776;;16,72;16,28;13,30;11,70;14,78
