dataset_name;l=2restarts=50;duration;l=5restarts=20;duration;l=10restarts=10;duration;l=20restarts=5;duration;l=50restarts=2;duration;best;gap_1;gap_2;gap_3;gap_4;gap_5
115rat575_v2_p1;525;34.383;530;30.329;528;31.858;531;28.633;532;15.141;532;0,013157895;0,003759398;0,007518797;0,001879699;0
115rat575_v2_p2;26615;40.996;26695;37.269;26694;34.51;26757;21.184;26557;18.414;26757;0,005307022;0,002317151;0,002354524;0;0,00747468
115rat575_v3_p1;508;33.395;508;28.444;505;27.572;508;34.988;508;20.885;508;0;0;0,005905512;0;0
115rat575_v3_p2;25277;40.158;25285;32.727;25447;40.366;25444;35.437;25350;20.594;25447;0,006680552;0,006366173;0;0,000117892;0,003811844
115rat575_v4_p1;538;33.223;537;26.893;538;22.552;535;28.709;541;18.184;541;0,005545287;0,007393715;0,005545287;0,011090573;0
115rat575_v4_p2;27054;33.731;27058;33.928;27033;25.437;27190;27.017;27094;38.439;27190;0,005001839;0,004854726;0,005774182;0;0,00353071
115u574_v2_p1;557;25.696;559;19.524;559;19.789;558;16.494;560;19.247;560;0,005357143;0,001785714;0,001785714;0,003571429;0
115u574_v2_p2;28222;34.384;28222;29.027;28222;25.257;28136;17.937;28222;18.994;28222;0;0;0;0,003047268;0
115u574_v3_p1;559;33.303;554;22.907;559;22.557;559;25.922;558;33.197;559;0;0,008944544;0;0;0,001788909
115u574_v3_p2;28029;37.664;28052;28.992;28115;32.723;28159;24.48;28059;17.44;28159;0,004616641;0,003799851;0,001562555;0;0,003551262
115u574_v4_p1;571;21.026;571;17.929;571;15.535;571;12.949;571;11.272;571;0;0;0;0;0
115u574_v4_p2;28888;24.934;28888;19.037;28888;14.925;28888;13.471;28888;12.682;28888;0;0;0;0;0
11berlin52_v2_p1;47;0.042;47;0.035;47;0.032;47;0.031;47;0.03;47;0;0;0;0;0
11berlin52_v2_p2;2384;0.038;2384;0.033;2384;0.031;2384;0.031;2384;0.031;2384;0;0;0;0;0
11berlin52_v3_p1;44;0.043;44;0.041;44;0.039;44;0.038;44;0.037;44;0;0;0;0;0
11berlin52_v3_p2;2240;0.045;2240;0.041;2240;0.039;2240;0.038;2240;0.038;2240;0;0;0;0;0
11berlin52_v4_p1;46;0.059;46;0.051;46;0.048;46;0.048;46;0.047;46;0;0;0;0;0
11berlin52_v4_p2;2384;0.061;2384;0.054;2384;0.051;2384;0.049;2384;0.049;2384;0;0;0;0;0
11eil51_v2_p1;43;0.04;43;0.035;43;0.033;43;0.031;43;0.031;43;0;0;0;0;0
11eil51_v2_p2;2069;0.04;2069;0.035;2069;0.032;2069;0.032;2069;0.031;2069;0;0;0;0;0
11eil51_v3_p1;45;0.055;45;0.047;45;0.042;45;0.04;45;0.039;45;0;0;0;0;0
11eil51_v3_p2;2218;0.057;2218;0.048;2218;0.043;2218;0.042;2218;0.041;2218;0;0;0;0;0
11eil51_v4_p1;45;0.058;45;0.054;45;0.05;45;0.05;45;0.048;45;0;0;0;0;0
11eil51_v4_p2;2218;0.061;2218;0.052;2218;0.051;2218;0.05;2218;0.05;2218;0;0;0;0;0
131p654_v2_p1;591;49.282;591;34.116;591;32.586;591;25.377;591;20.018;591;0;0;0;0;0
131p654_v2_p2;29882;62.118;29885;45.518;29888;39.384;29907;34.801;29868;23.78;29907;0,000835925;0,000735614;0,000635303;0;0,001304043
131p654_v3_p1;507;40.992;507;32.966;507;28.883;507;25.893;506;23.328;507;0;0;0;0;0,001972387
131p654_v3_p2;25663;53.549;25658;46.8;25658;44.5;25658;34.903;25658;30.56;25663;0;0,000194833;0,000194833;0,000194833;0,000194833
131p654_v4_p1;516;39.479;516;37.08;516;27.57;516;29.457;516;24.427;516;0;0;0;0;0
131p654_v4_p2;26072;44.498;26072;37.544;26072;32.788;26072;29.668;26072;26.265;26072;0;0;0;0;0
132d657_v2_p1;595;46.164;596;39.913;598;35.982;599;28.005;597;25.94;599;0,006677796;0,005008347;0,001669449;0;0,003338898
132d657_v2_p2;30643;58.678;30672;57.202;30806;42.775;30541;51.088;30492;44.13;30806;0,005291177;0,004349802;0;0,00860222;0,01019282
132d657_v3_p1;568;52.403;569;42.671;571;38.134;571;47.388;568;26.529;571;0,00525394;0,003502627;0;0;0,00525394
132d657_v3_p2;29036;60.661;28967;54.121;28966;44.05;28944;45.64;29101;34.474;29101;0,0022336;0,004604653;0,004639016;0,005395004;0
132d657_v4_p1;615;39.168;616;33.636;616;39.761;617;32.974;616;32.749;617;0,003241491;0,001620746;0,001620746;0;0,001620746
132d657_v4_p2;31476;54.984;31418;45.624;31431;44.698;31387;39.994;31405;31.14;31476;0;0,001842674;0,001429661;0,002827551;0,002255687
145u724_v2_p1;695;73.166;690;48.996;694;36.91;693;38.829;691;21.878;695;0;0,007194245;0,001438849;0,002877698;0,005755396
145u724_v2_p2;35212;96.695;35189;58.237;35227;60.659;35132;47.739;35216;35.772;35227;0,00042581;0,001078718;0;0,002696795;0,00031226
145u724_v3_p1;707;78.799;709;62.389;707;60.004;710;40.441;709;42.165;710;0,004225352;0,001408451;0,004225352;0;0,001408451
145u724_v3_p2;35707;94.481;35847;83.742;35732;78.176;35863;52.903;35890;50.638;35890;0,005098913;0,001198105;0,00440234;0,000752299;0
145u724_v4_p1;723;46.4;723;34.658;723;28.122;723;24.242;723;23.083;723;0;0;0;0;0
145u724_v4_p2;36532;46.825;36532;36.175;36532;29.786;36532;29.569;36532;25.06;36532;0;0;0;0;0
14st70_v2_p1;56;0.065;56;0.061;56;0.06;56;0.058;56;0.057;56;0;0;0;0;0
14st70_v2_p2;2875;0.071;2875;0.061;2875;0.06;2875;0.057;2875;0.057;2875;0;0;0;0;0
14st70_v3_p1;49;0.084;49;0.077;49;0.074;49;0.074;49;0.073;49;0;0;0;0;0
14st70_v3_p2;2499;0.092;2499;0.079;2499;0.08;2499;0.078;2499;0.074;2499;0;0;0;0;0
14st70_v4_p1;50;0.112;50;0.097;50;0.095;50;0.093;50;0.089;50;0;0;0;0;0
14st70_v4_p2;2524;0.107;2524;0.094;2524;0.091;2524;0.091;2524;0.088;2524;0;0;0;0;0
157rat783_v2_p1;735;87.535;735;73.486;732;68.461;734;57.054;736;59.082;736;0,001358696;0,001358696;0,005434783;0,002717391;0
157rat783_v2_p2;37445;130.29;37670;96.876;37818;93.849;37678;52.046;37585;67.032;37818;0,009863028;0,00391348;0;0,003701941;0,006161087
157rat783_v3_p1;739;92.956;739;71.75;743;66.031;739;70.877;747;49.341;747;0,010709505;0,010709505;0,005354752;0,010709505;0
157rat783_v3_p2;37725;112.001;37937;99.313;38039;92.506;37857;92.124;37740;41.519;38039;0,008254686;0,002681459;0;0,004784563;0,007860354
157rat783_v4_p1;782;71.419;782;52.915;782;51.928;782;50.749;782;47.549;782;0;0;0;0;0
157rat783_v4_p2;39517;70.212;39517;51.897;39517;53.168;39517;62.044;39517;50.986;39517;0;0;0;0;0
16eil76_v2_p1;64;0.1;64;0.086;64;0.092;64;0.092;64;0.083;64;0;0;0;0;0
16eil76_v2_p2;3363;0.101;3363;0.092;3363;0.088;3363;0.082;3363;0.096;3363;0;0;0;0;0
16eil76_v3_p1;60;0.116;60;0.1;60;0.093;60;0.084;60;0.091;60;0;0;0;0;0
16eil76_v3_p2;3137;0.137;3137;0.12;3137;0.106;3137;0.101;3137;0.086;3137;0;0;0;0;0
16eil76_v4_p1;65;0.146;65;0.13;65;0.112;65;0.105;65;0.101;65;0;0;0;0;0
16eil76_v4_p2;3411;0.154;3411;0.125;3411;0.108;3411;0.106;3411;0.103;3411;0;0;0;0;0
16pr76_v2_p1;68;0.099;68;0.089;68;0.079;68;0.077;68;0.064;68;0;0;0;0;0
16pr76_v2_p2;3442;0.11;3442;0.102;3442;0.082;3442;0.073;3442;0.069;3442;0;0;0;0;0
16pr76_v3_p1;63;0.116;63;0.101;63;0.092;63;0.086;63;0.086;63;0;0;0;0;0
16pr76_v3_p2;3250;0.128;3250;0.106;3250;0.09;3250;0.086;3250;0.088;3250;0;0;0;0;0
16pr76_v4_p1;66;0.155;66;0.126;66;0.11;66;0.108;66;0.101;66;0;0;0;0;0
16pr76_v4_p2;3378;0.159;3378;0.129;3378;0.118;3378;0.112;3378;0.106;3378;0;0;0;0;0
201pr1002_v2_p1;972;172.058;976;130.232;973;91.635;973;123.838;976;89.909;976;0,004098361;0;0,00307377;0,00307377;0
201pr1002_v2_p2;49285;222.808;49361;164.892;49308;111.988;49218;95.447;49232;95.47;49361;0,001539677;0;0,001073722;0,002897024;0,002613399
201pr1002_v3_p1;993;131.408;994;100.873;995;90.642;995;106.149;994;82.398;995;0,00201005;0,001005025;0;0;0,001005025
201pr1002_v3_p2;50403;170.578;50414;129.716;50336;115.708;50346;83.424;50417;91.495;50417;0,000277684;5,95037E-05;0,001606601;0,001408255;0
201pr1002_v4_p1;1001;87.265;1001;64.838;1001;59.828;1001;54.393;1001;52.681;1001;0;0;0;0;0
201pr1002_v4_p2;50583;90.617;50583;67.447;50583;57.268;50583;54.983;50583;51.745;50583;0;0;0;0;0
20kroA100_v2_p1;83;0.178;83;0.17;83;0.184;83;0.18;83;0.244;83;0;0;0;0;0
20kroA100_v2_p2;4256;0.207;4256;0.207;4256;0.175;4256;0.183;4256;0.158;4256;0;0;0;0;0
20kroA100_v3_p1;80;0.208;80;0.229;80;0.209;80;0.22;80;0.164;80;0;0;0;0;0
20kroA100_v3_p2;4116;0.239;4116;0.207;4116;0.201;4116;0.221;4116;0.212;4116;0;0;0;0;0
20kroA100_v4_p1;83;0.236;83;0.201;83;0.194;83;0.184;83;0.184;83;0;0;0;0;0
20kroA100_v4_p2;4256;0.222;4256;0.199;4256;0.188;4256;0.185;4256;0.182;4256;0;0;0;0;0
20kroB100_v2_p1;80;0.176;80;0.146;80;0.135;80;0.135;80;0.124;80;0;0;0;0;0
20kroB100_v2_p2;3738;0.21;3738;0.17;3738;0.148;3738;0.137;3738;0.133;3738;0;0;0;0;0
20kroB100_v3_p1;72;0.286;72;0.218;72;0.218;72;0.184;72;0.186;72;0;0;0;0;0
20kroB100_v3_p2;3411;0.206;3411;0.186;3411;0.185;3411;0.17;3411;0.159;3411;0;0;0;0;0
20kroB100_v4_p1;74;0.221;74;0.193;74;0.191;74;0.182;74;0.183;74;0;0;0;0;0
20kroB100_v4_p2;3482;0.221;3482;0.192;3482;0.19;3482;0.184;3482;0.183;3482;0;0;0;0;0
20kroC100_v2_p1;75;0.194;75;0.159;75;0.147;75;0.141;75;0.141;75;0;0;0;0;0
20kroC100_v2_p2;3755;0.213;3755;0.186;3755;0.174;3755;0.164;3755;0.185;3755;0;0;0;0;0
20kroC100_v3_p1;71;0.209;71;0.186;71;0.169;71;0.173;71;0.166;71;0;0;0;0;0
20kroC100_v3_p2;3565;0.22;3565;0.175;3565;0.181;3565;0.179;3565;0.16;3565;0;0;0;0;0
20kroC100_v4_p1;71;0.221;71;0.205;71;0.194;71;0.182;71;0.182;71;0;0;0;0;0
20kroC100_v4_p2;3565;0.226;3565;0.198;3565;0.194;3565;0.189;3565;0.188;3565;0;0;0;0;0
20kroD100_v2_p1;75;0.231;75;0.199;75;0.168;75;0.155;75;0.139;75;0;0;0;0;0
20kroD100_v2_p2;3568;0.225;3568;0.191;3568;0.165;3568;0.149;3568;0.145;3568;0;0;0;0;0
20kroD100_v3_p1;64;0.233;64;0.206;64;0.172;64;0.172;64;0.169;64;0;0;0;0;0
20kroD100_v3_p2;3133;0.231;3133;0.188;3133;0.183;3133;0.174;3133;0.166;3133;0;0;0;0;0
20kroD100_v4_p1;67;0.247;67;0.201;67;0.202;67;0.195;67;0.19;67;0;0;0;0;0
20kroD100_v4_p2;3379;0.232;3379;0.203;3379;0.199;3379;0.191;3379;0.191;3379;0;0;0;0;0
20kroE100_v2_p1;66;0.181;66;0.15;66;0.136;66;0.134;66;0.126;66;0;0;0;0;0
20kroE100_v2_p2;3089;0.167;3089;0.145;3089;0.141;3089;0.134;3089;0.132;3089;0;0;0;0;0
20kroE100_v3_p1;63;0.188;63;0.158;63;0.154;63;0.151;63;0.145;63;0;0;0;0;0
20kroE100_v3_p2;2945;0.183;2945;0.165;2945;0.154;2945;0.152;2945;0.152;2945;0;0;0;0;0
20kroE100_v4_p1;66;0.247;66;0.201;66;0.2;66;0.183;66;0.171;66;0;0;0;0;0
20kroE100_v4_p2;3089;0.219;3089;0.194;3089;0.185;3089;0.18;3089;0.177;3089;0;0;0;0;0
20rat99_v2_p1;53;0.182;53;0.161;53;0.146;53;0.134;53;0.125;53;0;0;0;0;0
20rat99_v2_p2;2776;0.172;2776;0.146;2776;0.138;2776;0.133;2776;0.135;2776;0;0;0;0;0
20rat99_v3_p1;49;0.171;49;0.153;49;0.148;49;0.144;49;0.151;49;0;0;0;0;0
20rat99_v3_p2;2508;0.199;2508;0.171;2508;0.162;2508;0.157;2508;0.153;2508;0;0;0;0;0
20rat99_v4_p1;49;0.188;49;0.178;49;0.174;49;0.178;49;0.173;49;0;0;0;0;0
20rat99_v4_p2;2508;0.194;2508;0.18;2508;0.183;2508;0.175;2508;0.174;2508;0;0;0;0;0
20rd100_v2_p1;81;0.176;81;0.142;81;0.137;81;0.135;81;0.128;81;0;0;0;0;0
20rd100_v2_p2;4053;0.18;4053;0.15;4053;0.142;4060;0.142;4053;0.131;4060;0,001724138;0,001724138;0,001724138;0;0,001724138
20rd100_v3_p1;67;0.215;67;0.182;67;0.169;67;0.163;67;0.154;67;0;0;0;0;0
20rd100_v3_p2;3467;0.216;3467;0.195;3467;0.189;3467;0.159;3467;0.162;3467;0;0;0;0;0
20rd100_v4_p1;67;0.222;67;0.187;67;0.184;67;0.184;67;0.184;67;0;0;0;0;0
20rd100_v4_p2;3467;0.215;3467;0.196;3467;0.187;3467;0.187;3467;0.181;3467;0;0;0;0;0
212u1060_v2_p1;1053;178.253;1054;132.3;1053;120.806;1054;111.02;1054;78.148;1054;0,000948767;0;0,000948767;0;0
212u1060_v2_p2;53308;207.397;53322;152.786;53360;136.92;53345;114.844;53331;90.763;53360;0,000974513;0,000712144;0;0,000281109;0,000543478
212u1060_v3_p1;1058;138.982;1058;102.982;1058;98.778;1058;75.406;1058;60.392;1058;0;0;0;0;0
212u1060_v3_p2;53504;160.952;53513;118.521;53492;121.299;53517;112.701;53468;69.853;53517;0,000242913;7,47426E-05;0,000467141;0;0,000915597
212u1060_v4_p1;1059;107.595;1059;78.367;1059;71.275;1059;65.947;1059;64.045;1059;0;0;0;0;0
212u1060_v4_p2;53548;110.939;53548;80.352;53548;72.194;53548;64.481;53548;60.212;53548;0;0;0;0;0
217vm1084_v2_p1;1070;170.65;1070;118.777;1070;116.061;1070;84.58;1069;78.859;1070;0;0;0;0;0,000934579
217vm1084_v2_p2;54289;242.086;54203;165.762;54192;140.773;54259;157.923;54231;103.746;54289;0;0,001584115;0,001786734;0,000552598;0,001068356
217vm1084_v3_p1;1083;122.513;1083;102.479;1083;87.519;1083;88.337;1083;66.75;1083;0;0;0;0;0
217vm1084_v3_p2;54712;163.296;54712;122.56;54712;95.386;54712;92.454;54712;88.549;54712;0;0;0;0;0
217vm1084_v4_p1;1083;86.005;1083;71.861;1083;67.545;1083;66.654;1083;65.565;1083;0;0;0;0;0
217vm1084_v4_p2;54712;95.02;54712;75.915;54712;69.705;54712;67.271;54712;65.496;54712;0;0;0;0;0
21eil101_v2_p1;93;0.188;93;0.164;93;0.16;93;0.136;93;0.14;93;0;0;0;0;0
21eil101_v2_p2;4714;0.183;4714;0.169;4714;0.199;4714;0.14;4714;0.161;4714;0;0;0;0;0
21eil101_v3_p1;91;0.229;91;0.219;91;0.189;91;0.158;91;0.24;91;0;0;0;0;0
21eil101_v3_p2;4672;0.231;4672;0.196;4672;0.156;4672;0.154;4672;0.147;4672;0;0;0;0;0
21eil101_v4_p1;97;0.288;97;0.223;97;0.224;97;0.186;97;0.209;97;0;0;0;0;0
21eil101_v4_p2;4993;0.301;4993;0.28;4993;0.231;4993;0.233;4993;0.182;4993;0;0;0;0;0
21lin105_v2_p1;73;0.232;73;0.2;73;0.203;73;0.186;73;0.237;73;0;0;0;0;0
21lin105_v2_p2;3704;0.244;3704;0.211;3704;0.194;3704;0.187;3704;0.159;3704;0;0;0;0;0
21lin105_v3_p1;59;0.225;59;0.198;59;0.188;59;0.176;59;0.176;59;0;0;0;0;0
21lin105_v3_p2;3011;0.252;3011;0.198;3011;0.192;3011;0.182;3011;0.177;3011;0;0;0;0;0
21lin105_v4_p1;61;0.271;61;0.239;61;0.225;61;0.219;61;0.215;61;0;0;0;0;0
21lin105_v4_p2;3082;0.291;3082;0.239;3082;0.219;3082;0.207;3082;0.203;3082;0;0;0;0;0
22pr107_v2_p1;53;0.164;53;0.152;53;0.15;53;0.149;53;0.146;53;0;0;0;0;0
22pr107_v2_p2;2697;0.174;2697;0.159;2697;0.156;2697;0.152;2697;0.151;2697;0;0;0;0;0
22pr107_v3_p1;41;0.181;41;0.173;41;0.169;41;0.166;41;0.169;41;0;0;0;0;0
22pr107_v3_p2;2123;0.182;2123;0.174;2123;0.171;2123;0.168;2123;0.165;2123;0;0;0;0;0
22pr107_v4_p1;41;0.216;41;0.203;41;0.202;41;0.194;41;0.199;41;0;0;0;0;0
22pr107_v4_p2;2123;0.215;2123;0.205;2123;0.199;2123;0.2;2123;0.2;2123;0;0;0;0;0
25pr124_v2_p1;97;0.295;97;0.261;97;0.238;97;0.229;97;0.224;97;0;0;0;0;0
25pr124_v2_p2;4860;0.331;4860;0.267;4860;0.258;4860;0.238;4860;0.221;4860;0;0;0;0;0
25pr124_v3_p1;90;0.341;90;0.295;90;0.278;90;0.278;90;0.263;90;0;0;0;0;0
25pr124_v3_p2;4584;0.346;4584;0.3;4584;0.28;4584;0.274;4584;0.277;4584;0;0;0;0;0
25pr124_v4_p1;90;0.343;90;0.312;90;0.304;90;0.302;90;0.297;90;0;0;0;0;0
25pr124_v4_p2;4584;0.338;4584;0.309;4584;0.308;4584;0.309;4584;0.296;4584;0;0;0;0;0
26bier127_v2_p1;124;0.291;124;0.225;124;0.219;124;0.208;124;0.194;124;0;0;0;0;0
